mA	ma	mchi	tb	st	process
600	200	10	0.8	0.35	bb
600	250	10	0.8	0.35	bb
600	300	10	0.8	0.35	bb
600	350	10	0.8	0.35	bb
600	400	10	0.8	0.35	bb
600	500	10	0.8	0.35	bb
600	100	10	1	0.35	bb
600	150	10	1	0.35	bb
600	200	10	1	0.34	bb
600	250	10	1	0.35	bb
600	300	10	1	0.35	bb
600	350	10	1	0.35	bb
600	400	10	1	0.35	bb
600	500	10	1	0.35	bb
600	100	10	1.5	0.35	bb
600	150	10	1.5	0.35	bb
600	200	10	1.5	0.35	bb
600	250	10	1.5	0.35	bb
600	300	10	1.5	0.35	bb
600	350	10	1.5	0.35	bb
600	400	10	1.5	0.35	bb
600	500	10	1.5	0.35	bb
600	100	10	2	0.35	bb
600	150	10	2	0.35	bb
600	200	10	2	0.35	bb
600	250	10	2	0.35	bb
600	300	10	2	0.35	bb
600	350	10	2	0.35	bb
600	400	10	2	0.35	bb
600	500	10	2	0.35	bb
600	100	10	4	0.35	bb
600	150	10	4	0.35	bb
600	200	10	4	0.35	bb
600	250	10	4	0.35	bb
600	300	10	4	0.35	bb
600	350	10	4	0.35	bb
600	400	10	4	0.35	bb
600	500	10	4	0.35	bb
600	100	10	6	0.35	bb
600	150	10	6	0.35	bb
600	200	10	6	0.35	bb
600	250	10	6	0.35	bb
600	300	10	6	0.35	bb
600	350	10	6	0.35	bb
600	400	10	6	0.35	bb
600	500	10	6	0.35	bb
600	100	10	8	0.35	bb
600	150	10	8	0.35	bb
600	200	10	8	0.35	bb
600	250	10	8	0.35	bb
600	300	10	8	0.35	bb
600	350	10	8	0.35	bb
600	400	10	8	0.35	bb
600	500	10	8	0.35	bb
600	100	10	10	0.35	bb
600	150	10	10	0.35	bb
600	200	10	10	0.35	bb
600	250	10	10	0.35	bb
600	300	10	10	0.35	bb
600	350	10	10	0.35	bb
600	400	10	10	0.35	bb
600	500	10	10	0.35	bb
600	100	10	20	0.35	bb
600	150	10	20	0.35	bb
600	200	10	20	0.35	bb
600	250	10	20	0.35	bb
600	300	10	20	0.35	bb
600	350	10	20	0.35	bb
600	400	10	20	0.34	bb
600	500	10	20	0.35	bb
600	100	10	30	0.35	bb
600	150	10	30	0.35	bb
600	200	10	30	0.35	bb
600	250	10	30	0.35	bb
600	300	10	30	0.35	bb
600	350	10	30	0.35	bb
600	400	10	30	0.35	bb
600	500	10	30	0.35	bb
600	100	10	40	0.35	bb
600	150	10	40	0.35	bb
600	200	10	40	0.35	bb
600	250	10	40	0.35	bb
600	300	10	40	0.35	bb
600	350	10	40	0.35	bb
600	400	10	40	0.35	bb
600	500	10	40	0.35	bb
600	100	10	50	0.35	bb
600	150	10	50	0.35	bb
600	200	10	50	0.35	bb
600	250	10	50	0.35	bb
600	300	10	50	0.35	bb
600	350	10	50	0.35	bb
600	400	10	50	0.35	bb
600	500	10	50	0.35	bb
600	200	10	1	0.1	bb
1000	350	10	1	0.1	bb
600	200	10	1	0.2	bb
1000	350	10	1	0.2	bb
600	200	10	1	0.3	bb
1000	350	10	1	0.3	bb
600	200	10	1	0.4	bb
1000	350	10	1	0.4	bb
600	200	10	1	0.6	bb
1000	350	10	1	0.6	bb
600	200	10	1	0.7	bb
1000	350	10	1	0.7	bb
600	200	10	1	0.8	bb
1000	350	10	1	0.8	bb
600	200	10	1	0.9	bb
1000	350	10	1	0.9	bb
