'7.0'           [file version number]  
36 '  f(p1)+f(p2) --> Z^0 -> t(->nu(p3)+e^+(p4)+b(p5))+t~(->b~(p6)+e^-(p7)+nu~(p8))' 'L'
1000 'nul' 'X'
41 '  f(p1)+f(p2) --> Z^0(-->e^-(p3)+e^+(p4))+f(p5)' 'N'
42 '  f(p1)+f(p2) --> Z^0(-->3*(nu(p3)+nu~(p4)))+f(p5)' 'N'
43 '  f(p1)+f(p2) --> Z^0(-->b(p3)+b~(p4))+f(p5)' 'N'
1000 'nul' 'X'
44 '  f(p1)+f(p2) --> Z^0(-->e^-(p3)+e^+(p4))+f(p5)+f(p6)' 'N'
45 '  f(p1)+f(p2) --> Z^0(-->e^-(p3)+e^+(p4))+f(p5)+f(p6)+f(p7)' 'L'
46 '  f(p1)+f(p2) --> Z^0(-->3*(nu(p3)+nu~(p4))+f(p5)+f(p6)' 'N'
47 '  f(p1)+f(p2) --> Z^0(-->3*(nu(p3)+nu~(p4))+f(p5)+f(p6)+f(p7)' 'L'
1000 'nul' 'X'
50 '  f(p1)+f(p2) --> Z^0(-->e^-(p3)+e^+(p4))+b~(p5)+b(p6) [massive]' 'L'
51 '  f(p1)+f(p2) --> Z^0(-->e^-(p3)+e^+(p4))+b(p5)+b~(p6)' 'N'
52 '  f(p1)+f(p2) --> Z^0(-->3*(nu(p3)+nu~(p4)))+b(p5)+b~(p6)' 'N'
53 '  f(p1)+f(p2) --> Z^0(-->b(p3)+b~(p4))+b(p5)+b~(p6)' 'N'
54 '  f(p1)+f(p2) --> Z^0(-->e^-(p3)+e^+(p4))+b(p5)+b~(p6)+f(p7)' 'L'
1000 'nul' 'X'
56 '  f(p1)+f(p2) --> Z^0(-->e^-(p3)+e^+(p4))+c(p5)+c~(p6)' 'N'
1000 'nul' 'X'
61 '  f(p1)+f(p2) --> W^+(-->nu(p3)+e^+(p4)) +W^-(-->e^-(p5)+nu~(p6))' 'N'
62 '  f(p1)+f(p2) --> W^+(-->nu(p3)+e^+(p4)) +W^-(-->q(p5)+q~(p6))' 'N'
63 '  f(p1)+f(p2) --> W^+(-->nu(p3)+e^+(p4)) +W^-(-->q(p5)+q~(p6))[rad.in.dk]' 'N'
64 '  f(p1)+f(p2) --> W^-(-->e^-(p3)+nu~(p4)) +W^+(--> q(p5)+ q~(p5))' 'N'
65 '  f(p1)+f(p2) --> W^-(-->e^-(p3)+nu~(p4)) +W^+(--> q(p5)+ q~(p5))[rad.in.dk]' 'N'
66 '  f(p1)+f(p2) --> W^+(-->nu(p3)+e^+(p4)) +W^-(-->e^-(p5)+nu~(p6))+f(p7)' 'L'
69 '  f(p1)+f(p2) --> W^+(-->nu(p3)+e^+(p4)) +W^-(-->e^-(p5)+nu~(p6)) [no pol]' 'L'
1000 'nul' 'X'
71 '  f(p1)+f(p2) --> W^+(-->nu(p3)+mu^+(p4))+Z^0(-->e^-(p5)+e^+(p6))' 'N'
72 '  f(p1)+f(p2) --> W^+(-->nu(p3)+mu^+(p4))+Z^0(-->3*(nu_e(p5)+nu~_e(p6)))' 'N'
73 '  f(p1)+f(p2) --> W^+(-->nu(p3)+mu^+(p4))+Z^0(-->b(p5)+b~(p6))' 'N'
74 '  f(p1)+f(p2) --> W^+(-->nu(p3)+mu^+(p4))+Z^0(-->3*(d(p5)+d~(p6)))' 'N'
75 '  f(p1)+f(p2) --> W^+(-->nu(p3)+mu^+(p4))+Z^0(-->2*(u(p5)+u~(p6)))' 'N'
1000 'nul' 'X'
76 '  f(p1)+f(p2) --> W^-(-->mu^-(p3)+nu~(p4))+Z^0(-->e^-(p5)+e^+(p6))' 'N'
77 '  f(p1)+f(p2) --> W^-(-->e^-(p3)+nu~(p4))+Z^0(-->3*(nu_e(p5)+nu~_e(p6)))' 'N'
78 '  f(p1)+f(p2) --> W^-(-->e^-(p3)+nu~(p4))+Z^0(-->b(p5)+b~(p6))' 'N'
79 '  f(p1)+f(p2) --> W^-(-->e^-(p3)+nu~(p4))+Z^0(-->3*(d(p5)+d~(p6)))' 'N'
80 '  f(p1)+f(p2) --> W^-(-->e^-(p3)+nu~(p4))+Z^0(-->2*(u(p5)+u~(p6)))' 'N'
1000 'nul' 'X'
81 '  f(p1)+f(p2) --> Z^0(-->e^-(p3)+e^+(p4)) + Z^0(-->mu^-(p5)+mu^+(p6))' 'N'
82 '  f(p1)+f(p2) --> Z^0(-->e^-(p3)+e^+(p4)) + Z^0(-->3*(nu(p5)+nu~(p6)))' 'N'
83 '  f(p1)+f(p2) --> Z^0(-->e^-(p3)+e^+(p4)) + Z^0(-->b(p5)+b~(p6))' 'N'
84 '  f(p1)+f(p2) --> Z^0(-->b(p3)+b~(p4)) + Z^0(-->3*(nu(p5)+nu~(p6)))' 'N'
85 '  f(p1)+f(p2) --> Z^0(-->e^-(p3)+e^+(p4)) + Z^0(-->3*(nu(p5)+nu~(p6)))+f(p7)' 'L'
1000 'nul' 'X'
86 '  f(p1)+f(p2) --> Z^0(-->mu^-(p3)+mu^+(p4))+Z^0(-->e^-(p5)+e^+(p6))[no gamma^*]' 'N'
87 '  f(p1)+f(p2) --> Z^0(-->e^-(p3)+e^+(p4)) + Z^0(-->3*(nu(p5)+nu~(p6))) [no gamma^*]' 'N'
88 '  f(p1)+f(p2) --> Z^0(-->e^-(p3)+e^+(p4))+Z^0(-->b(p5)+b~(p6)) [no gamma^*]' 'N'
89 '  f(p1)+f(p2) --> Z^0(-->b(p3)+b~(p4)) + Z^0(-->3*(nu(p5)+nu~(p6))) [no gamma^*]' 'N'
90 '  f(p1)+f(p2) --> Z^0(-->e^-(p3)+e^+(p4)) + Z^0(-->e^-(p5)+e^+(p6))' 'N'
1000 'nul' 'X'
91 '  f(p1)+f(p2) --> W^+(-->nu(p3)+e^+(p4)) + H(-->b(p5)+b~(p6))' 'N'
92 '  f(p1)+f(p2) --> W^+(-->nu(p3)+e^+(p4)) + H(-->W^+(nu(p5),e^+(p6))W^-(e^-(p7),nu~(p8)))' 'N'
93 '  f(p1)+f(p2) --> W^+(-->nu(p3)+e^+(p4)) + H(-->Z(e^-(p5),e^+(p6))+Z(mu^-(p7),mu(p8)))' 'N'
94 '  f(p1)+f(p2) --> W^+(-->nu(p3)+e^+(p4)) + H(-->gamma(p5)+gamma(p6)' 'N'
96 '  f(p1)+f(p2) --> W^-(-->e^-(p3)+nu~(p4)) + H(-->b(p5)+b~(p6))'  'N'
97 '  f(p1)+f(p2) --> W^-(-->e^-(p3)+nu~(p4)) + H(-->W^+(nu(p5),e^+(p6))W^-(e^-(p7),nu~(p8)))' 'N'
98 '  f(p1)+f(p2) --> W^-(-->e^-(p3)+nu~(p4)) + H(-->Z(e^-(p5),e^+(p6))+Z(mu^-(p7),mu^+(p8)))' 'N'
99 '  f(p1)+f(p2) --> W^-(-->e^-(p3)+nu~(p4)) + H(-->gamma(p5)+gamma(p6))' 'N'
1000 'nul' 'X'
101 '  f(p1)+f(p2) --> Z^0(-->e^-(p3)+e^+(p4)) + H(-->b(p5)+b~(p6))' 'N'
102 '  f(p1)+f(p2) --> Z^0(-->3*(nu(p3)+nu~(p4))) + H(-->b(p5)+b~(p6))' 'N'
103 '  f(p1)+f(p2) --> Z^0(-->b(p3)+b~(p4)) + H(-->b(p5)+b~(p6))'      'N'
104 '  f(p1)+f(p2) --> Z^0(-->e^-(p3)+e^+(p4)) + H(-->gamma(p5)+gamma(p6))' 'N'
105 '  f(p1)+f(p2) --> Z^0(-->-->3*(nu(p3)+nu~(p4))) + H(-->gamma(p5)+gamma(p6))' 'N'
106 '  f(p1)+f(p2) --> Z^0(-->e^-(p3)+e^+(p4)) + H(-->W^+(nu(p5),e^+(p6))W^-(e^-(p7),nu~(p8)))' 'N'
107 '  f(p1)+f(p2) --> Z^0(-->3*(nu(p3)+nu~(p4))) + H(-->W^+(nu(p5),e^+(p6))W^-(e^-(p7),nu~(p8)))' 'N'
108 '  f(p1)+f(p2) --> Z^0(-->b(p3)+b~(p4)) + H(-->W^+(nu(p5),e^+(p6))W^-(e^-(p7),nu~(p8)))'      'N'
109 '  f(p1)+f(p2) --> Z^0(-->e^-(p3)+e^+(p4)) + H(-->Z(e^-(p5),e^+(p6))+Z(mu^-(p7),mu(p8)))' 'N'
1000 'nul' 'X'
111 '  f(p1)+f(p2) --> H(--> b(p3)+b~(p4))' 'N'
112 '  f(p1)+f(p2) --> H(--> tau^-(p3)+tau^+(p4))' 'N'
113 '  f(p1)+f(p2) --> H(--> W^+(nu(p3)+e^+(p4)) + W^-(e^-(p5)+nu~(p6)))' 'N'
114 '  f(p1)+f(p2) --> H(--> W^+(nu(p3)+e^+(p4)) + W^-(q(p5)+q(p6)))' 'N'
115 '  f(p1)+f(p2) --> H(--> W^+(nu(p3)+e^+(p4)) + W^-(q(p5)+q(p6))) [rad.in.dk]' 'N'
116 '  f(p1)+f(p2) --> H(--> Z^0(e^-(p3)+e^+(p4)) + Z^0(mu^-(p5)+mu^+(p6))' 'N'
117 '  f(p1)+f(p2) --> H(--> Z^0(3*(nu(p3)+nu~(p4))) + Z^0(mu^-(p5)+mu^+(p6))' 'N'
118 '  f(p1)+f(p2) --> H(--> Z^0(mu^-(p3)+mu^+(p4)) + Z^0(b(p5)+b~(p6))' 'N'
119 '  f(p1)+f(p2) --> H(--> gamma(p3)+gamma(p4))' 'N'
120 '  f(p1)+f(p2) --> H(--> Z^0(mu^-(p3)+mu^+(p4)) + gamma(p5))' 'N'
121 '  f(p1)+f(p2) --> H(--> Z^0(3*(nu(p3)+nu~(p4))) + gamma(p5))' 'N'
1000 'nul' 'X'
123 '  f(p1)+f(p2) --> H(--> W^+(nu(p3)+e^+(p4)) + W^-(e^-(p5)+nu~(p6))) [top, bottom loops, exact]' 'L'
124 '  f(p1)+f(p2) --> H(--> W^+(nu(p3)+e^+(p4)) + W^-(e^-(p5)+nu~(p6))) [only H, gg->WW intf.]' 'L'
125 '  f(p1)+f(p2) --> H(--> W^+(nu(p3)+e^+(p4)) + W^-(e^-(p5)+nu~(p6))) [H squared and H, gg->WW intf.]' 'L'
126 '  f(p1)+f(p2) --> W^+(nu(p3)+e^+(p4)) + W^-(e^-(p5)+nu~(p6)) [gg only, (H + gg->WW) squared]' 'L'
127 '  f(p1)+f(p2) --> W^+(nu(p3)+e^+(p4)) + W^-(e^-(p5)+nu~(p6)) [(gg->WW) squared]' 'L'
1000 'nul' 'X'
128 '  f(p1)+f(p2) --> H(--> Z^0(e^-(p3)+e^+(p4)) + Z^0(mu^-(p5)+mu^+(p6)) [top, bottom loops, exact]' 'L'
129 '  f(p1)+f(p2) --> H(--> Z^0(e^-(p3)+e^+(p4)) + Z^0(mu^-(p5)+mu^+(p6)) [only H, gg->ZZ intf.]' 'L'
130 '  f(p1)+f(p2) --> H(--> Z^0(e^-(p3)+e^+(p4)) + Z^0(mu^-(p5)+mu^+(p6)) [H squared and H, gg->ZZ intf.]' 'L'
131 '  f(p1)+f(p2) --> Z^0(e^-(p3)+e^+(p4)) + Z^0(mu^-(p5)+mu^+(p6) [gg only, (H + gg->ZZ) squared]' 'L'
132 '  f(p1)+f(p2) --> Z^0(e^-(p3)+e^+(p4)) + Z^0(mu^-(p5)+mu^+(p6) [(gg->ZZ) squared]' 'L'
1000 'nul' 'X'
1281 ' f(p1)+f(p2) --> H (--> e^-(p3)+e^+(p4)+nu_e(p5)+nu~_e(p6)) [top, bottom loops, exact]' 'L'
1311 ' f(p1)+f(p2) --> e^-(p3)+e^+(p4)+nu_e(p5)+nu~_e(p6) [gg only, (H + box) squared]' 'L'
1321 ' f(p1)+f(p2) --> e^-(p3)+e^+(p4)+nu_e(p5)+nu~_e(p6) [(gg box) squared]' 'L'
1000 'nul' 'X'
1282 ' f(p1)+f(p2) --> H (--> e^-(p3)+e^+(p4)+nu(p5)+nu~(p6)) [top, bottom loops, exact, sum over 3 nus]' 'L'
1312 ' f(p1)+f(p2) --> e^-(p3)+e^+(p4)+nu(p5)+nu~(p6) [gg only, (H + box) squared, sum over 3 nus]' 'L'
1322 ' f(p1)+f(p2) --> e^-(p3)+e^+(p4)+nu(p5)+nu~(p6) [(gg box) squared, sum over 3 nus]' 'L'
1000 'nul' 'X'
133 '  f(p1)+f(p2) --> H(--> Z^0(e^-(p3)+e^+(p4)) + Z^0(mu^-(p5)+mu^+(p6) + f(p7)) [intf with SM, no cut on p7]' 'L'
1000 'nul' 'X'
136 '  f(p1)+f(p2) --> H(-->b(p3)+b~(p4)) + b(p5) (+g(p6))' 'N'
137 '  f(p1)+f(p2) --> H(-->b(p3)+b~(p4)) + b~(p5) (+b(p6))' 'R'
138 '  f(p1)+f(p2) --> H(-->b(p3)+b~(p4)) + b(p5) + b~(p6) [both observed]' 'R'
1000 'nul' 'X'
141 '  f(p1)+f(p2) --> t(-->nu(p3)+e^+(p4)+b(p5))+t~(-->b~(p6)+e^-(p7)+nu~(p8))' 'N'
142 '  f(p1)+f(p2) --> t(-->nu(p3)+e^+(p4)+b(p5))+t~(-->b~(p6)+e^-(p7)+nu~(p8)) [rad.in.top.dk]' 'N'
143 '  f(p1)+f(p2) --> t(-->nu(p3)+e^+(p4)+b(p5))+t~(-->b~(p6)+e^-(p7)+nu~(p8))+f(p9)' 'L'
1000 'nul' 'X'
144 '  f(p1)+f(p2) --> t(-->nu(p3)+e^+(p4)+b(p5))+t~(-->b~(p6)+e^-(p7)+nu~(p8)) (uncorr)' 'N'
145 '  f(p1)+f(p2) --> t(-->nu(p3)+e^+(p4)+b(p5))+t~(-->b~(p6)+e^-(p7)+nu~(p8)) (uncorr) [rad.in.top.dk]' 'N'
1000 'nul' 'X'
146 '  f(p1)+f(p2) --> t(-->nu(p3)+e^+(p4)+b(p5))+t~(-->b~(p6)+q(p7)+q~(p8))' 'N'
147 '  f(p1)+f(p2) --> t(-->nu(p3)+e^+(p4)+b(p5))+t~(-->b~(p6)+q(p7)+q~(p8)) [rad.in.top.dk]' 'N'
148 '  f(p1)+f(p2) --> t(-->nu(p3)+e^+(p4)+b(p5))+t~(-->b~(p6)+q(p7)+q~(p8)) [rad.in.W.dk]' 'N'
1000 'nul' 'X'
149 '  f(p1)+f(p2) --> t(-->q(p3)+q~(p4)+b(p5))+t~(-->b~(p6)+e^-(p7)+nu~(p8))' 'N'
150 '  f(p1)+f(p2) --> t(-->q(p3)+q~(p4)+b(p5))+t~(-->b~(p6)+e^-(p7)+nu~(p8)) [rad.in.top.dk]' 'N'
151 '  f(p1)+f(p2) --> t(-->q(p3)+q~(p4)+b(p5))+t~(-->b~(p6)+e^-(p7)+nu~(p8)) [rad.in.W.dk]' 'N'
1000 'nul' 'X'
157 '  f(p1)+f(p2) --> t(p3) t~(p4) [for total Xsect]' 'N'
158 '  f(p1)+f(p2) --> b(p3) b~(p4) [for total Xsect]' 'N'
159 '  f(p1)+f(p2) --> c(p3) c~(p4) [for total Xsect]' 'N'
160 '  f(p1)+f(p2) --> t(p3) t~(p4) + g(p5) [for total Xsect]' 'L'
1000 'nul' 'X'
161 '  f(p1)+f(p2) --> t(-->nu(p3)+e^+(p4)+b(p5))+q(p6) [t-channel]' 'N'
162 '  f(p1)+f(p2) --> t(-->nu(p3)+e^+(p4)+b(p5))+q(p6) [rad.in.dk]' 'N'
163 '  f(p1)+f(p2) --> t(-->nu(p3)+e^+(p4)+b(p5))+q(p6) [t-channel] mb>0' 'N'
166 '  f(p1)+f(p2) --> t~(-->e^-(p3)+nu~(p4)+b~(p5))+q(p6) [t-channel]' 'N'
167 '  f(p1)+f(p2) --> t~(-->e^-(p3)+nu~(p4)+b~(p5))+q(p6) [rad.in.dk]' 'N'
168 '  f(p1)+f(p2) --> t~(-->e^-(p3)+nu~(p4)+b~(p5))+q(p6) [t-channel] mb>0' 'N'
1000 'nul' 'X'
171 '  f(p1)+f(p2) --> t(-->nu(p3)+e^+(p4)+b(p5))+b~(p6)) [s-channel]' 'N'
172 '  f(p1)+f(p2) --> t(-->nu(p3)+e^+(p4)+b(p5))+b~(p6)) [rad.in.dk]' 'N'
176 '  f(p1)+f(p2) --> t~(-->e^-(p3)+nu~(p4)+b~(p5))+b(p6)) [s-channel]' 'N'
177 '  f(p1)+f(p2) --> t~(-->e^-(p3)+nu~(p4)+b~(p5))+b(p6)) [rad.in.dk]' 'N'
1000 'nul' 'X'
180 '  f(p1)+f(p2) --> W^-(-->e^-(p3)+nu~(p4))+t(p5)' 'N'
181 '  f(p1)+f(p2) --> W^-(-->e^-(p3)+nu~(p4))+t(nu(p5)+e^+(p6)+b(p7))' 'N'
182 '  f(p1)+f(p2) --> W^-(-->e^-(p3)+nu~(p4))+t(nu(p5)+e^+(p6)+b(p7)) [dk]' 'N'
183 '  f(p1)+f(p2) --> W^-(-->e^-(p3)+nu~(p4))+t(nu(p5)+e^+(p6)+b(p7))+b(p8)' 'L'
184 '  f(p1)+f(p2) --> W^-(-->e^-(p3)+nu~(p4))+t(p5)+b(p6) [massive b]' 'L'
185 '  f(p1)+f(p2) --> W^+(-->nu(p3)+e^+(p4))+t~(p5)' 'N'
186 '  f(p1)+f(p2) --> W^+(-->nu(p3)+e^+(p4))+t~(e^-(p5)+nu~(p6)+b~(p7)' 'N'
187 '  f(p1)+f(p2) --> W^+(-->nu(p3)+e^+(p4))+t~(e^-(p5)+nu~(p6)+b~(p7) [dk]' 'N'
1000 'nul' 'X'
201 '  f(p1)+f(p2) --> H(-->b(p3)+b~(p4)) + f(p5) [full mt dep.]' 'L'
202 '  f(p1)+f(p2) --> H(-->tau^-(p3)+tau^+(p4)) + f(p5) [full mt dep.]' 'L'
203 '  f(p1)+f(p2) --> H(-->b(p3)+b~(p4)) + f(p5)' 'N'
204 '  f(p1)+f(p2) --> H(-->tau^-(p3)+tau^+(p4)) + f(p5)' 'N'
206 '  f(p1)+f(p2) --> A(-->b(p3)+b~(p4)) + f(p5) [full mt dep.]' 'L'
207 '  f(p1)+f(p2) --> A(-->tau^-(p3)+tau^+(p4)) + f(p5) [full mt dep.]' 'L'
208 '  f(p1)+f(p2) --> H(-->W^+(nu(p3),e^+(p4))W^-(e^-(p5),nu~(p6)))+f(p7)' 'N'
209 '  f(p1)+f(p2) --> H(-->Z^+(e^-(p3),e^+(p4))Z(mu^-(p5),mu^+(p6)))+f(p7)' 'N'
210 '  f(p1)+f(p2) --> H(-->gamma(p3)+gamma(p4)) + f(p5)' 'N'
1000 'nul' 'X'
211 '  f(p1)+f(p2) --> H(-->b(p3)+b~(p4))+f(p5)+f(p6) [WBF]' 'N'
212 '  f(p1)+f(p2) --> H(-->tau^-(p3)+tau^+(p4))+f(p5)+f(p6) [WBF]' 'N'
213 '  f(p1)+f(p2) --> H(-->W^+(nu(p3),e^+(p4))W^-(e^-(p5),nu~(p6)))+f(p7)+f(p8) [WBF]' 'N'
214 '  f(p1)+f(p2) --> H(-->Z(e^-(p3),e^+(p4))+Z(mu^-(p5),mu^+(p6)))+f(p7)+f(p8) [WBF]' 'N'
215 '  f(p1)+f(p2) --> H(-->gamma(p3)+gamma(p4))+f(p5)+f(p6) [WBF]' 'N'
216 '  f(p1)+f(p2) --> H(-->b(p3)+b~(p4))+f(p5)+f(p6)+f(p7) [WBF+jet]' 'L'
217 '  f(p1)+f(p2) --> H(-->tau^-(p3)+tau^+(p4))+f(p5)+f(p6)+f(p7) [WBF+jet]' 'L'
1000 'nul' 'X'
221 '  f(p1)+f(p2) --> tau^-(-->e^-(p3)+nu~_e(p4)+nu_tau(p5))+tau^+(-->nu~_tau(p6)+nu_e(p7)+e^+(p8))' 'L'
1000 'nul' 'X'
231 '  f(p1)+f(p2) --> t(p3)+b~(p4)+q(p5) [t-channel]' 'N'
232 '  f(p1)+f(p2) --> t(p3)+b~(p4)+q(p5)+q(p6) [t-channel]' 'L'
233 '  f(p1)+f(p2) --> t(-->nu(p3)+e^+(p4)+b(p5))+b~(p6)+q(p7) [t-channel]' 'N'
234 '  f(p1)+f(p2) --> t(-->nu(p3)+e^+(p4)+b(p5))+b~(p6)+q(p7) [t-channel, rad.in.dk]' 'N'
235 '  f(p1)+f(p2) --> t(-->nu(p3)+e^+(p4)+b(p5))+b~(p6)+q(p7)+f(p8) [t-channel]' 'L'
236 '  f(p1)+f(p2) --> t~(p3)+b(p4)+q(p5) [t-channel]' 'N'
237 '  f(p1)+f(p2) --> t~(p3)+b(p4)+q(p5)+q(p6) [t-channel]' 'L'
238 '  f(p1)+f(p2) --> t~(-->e^-(p3)+nu~(p4)+b~(p5))+b(p6)+q(p7) [t-channel]' 'N'
239 '  f(p1)+f(p2) --> t~(-->e^-(p3)+nu~(p4)+b~(p5))+b(p6)+q(p7) [t-channel, rad.in.dk]' 'N'
240 '  f(p1)+f(p2) --> t~(-->e^-(p3)+nu~(p4)+b~(p5))+b(p6)+q(p7)+f(p8) [t-channel]' 'L'
1000 'nul' 'X'
251 '  f(p1)+f(p2) --> W^+(-->nu(p3)+e^+(p4)) + W^+(-->nu(p5)+e^+(p6))+f(p7)+f(p8)' 'L'
252 '  f(p1)+f(p2) --> W^+(-->nu(p3)+e^+(p4)) + W^+(-->nu(p5)+e^+(p6))+f(p7)+f(p8)+f(p9)' 'L'
253 '  f(p1)+f(p2) --> W^+(-->nu(p3)+e^+(p4)) + Z(-->e^-(p5)+e^+(p6))+f(p7)+f(p8)' 'L'
254 '  f(p1)+f(p2) --> W^-(-->e^-(p3)+nu~(p4))+ Z(-->e^-(p5)+e^+(p6))+f(p7)+f(p8)' 'L'
255 '  f(p1)+f(p2) --> W^+(-->nu(p3)+e^+(p4)) + Z(-->e^-(p5)+e^+(p6))+b(p7)+f(p8)' 'L'
256 '  f(p1)+f(p2) --> W^-(-->e^-(p3)+nu~(p4))+ Z(-->e^-(p5)+e^+(p6))+b(p7)+f(p8)' 'L'
259 '  f(p1)+f(p2) --> W^+(-->nu(p3)+e^+(p4)) + Z(-->e^-(p5)+e^+(p6))+b(p7)+b~(p8)' 'L'
260 '  f(p1)+f(p2) --> W^-(-->e^-(p3)+nu~(p4))+ Z(-->e^-(p5)+e^+(p6))+b(p7)+b~(p8)' 'L'
1000 'nul' 'X'
261 '  f(p1)+f(p2) --> Z^0(-->e^-(p3)+e^+(p4))+b(p5)' 'N'
262 '  f(p1)+f(p2) --> Z^0(-->e^-(p3)+e^+(p4))+c(p5)' 'N'
263 '  f(p1)+f(p2) --> Z^0(-->e^-(p3)+e^+(p4))+b~(p5)+b(p6) [1 b-tag]' 'L'
264 '  f(p1)+f(p2) --> Z^0(-->e^-(p3)+e^+(p4))+c~(p5)+c(p6) [1 c-tag]' 'L'
266 '  f(p1)+f(p2) --> Z^0(-->e^-(p3)+e^+(p4))+b(p5)(+b~(p6))' 'N'
267 '  f(p1)+f(p2) --> Z^0(-->e^-(p3)+e^+(p4))+c(p5)(+c~(p6))' 'N'
1000 'nul' 'X'
270 '  f(p1)+f(p2) --> H(gamma(p3)+gamma(p4))+f(p5)+f(p6) [in heavy top limit]' 'N'
271 '  f(p1)+f(p2) --> H(b(p3)+b~(p4))+f(p5)+f(p6) [in heavy top limit]' 'N'
272 '  f(p1)+f(p2) --> H(tau^-(p3)+tau^+(p4))+f(p5)+f(p6) [in heavy top limit]' 'N'
273 '  f(p1)+f(p2) --> H(-->W^+(nu(p3),e^+(p4))W^-(e^-(p5),nu~(p6)))+f(p7)+f(p8)' 'N'
274 '  f(p1)+f(p2) --> H(-->Z^+(e^-(p3),e^+(p4))Z(mu^-(p5),mu^+(p6)))+f(p7)+f(p8)' 'N'
275 '  f(p1)+f(p2) --> H(b(p3)+b~(p4))+f(p5)+f(p6)+f(p7) [in heavy top limit]' 'L'
276 '  f(p1)+f(p2) --> H(tau^-(p3)+tau^+(p4))+f(p5)+f(p6)+f(p7) [in heavy top limit]' 'L'
278 '  f(p1)+f(p2) --> H(-->W^+(nu(p3),e^+(p4))W^-(e^-(p5),nu~(p6)))+f(p7)+f(p8)+f(p9)' 'L'
279 '  f(p1)+f(p2) --> H(-->Z^+(e^-(p3),e^+(p4))Z(mu^-(p5),mu^+(p6)))+f(p7)+f(p8)+f(p9)' 'L'
1000 'nul' 'X'
280 '  f(p1)+f(p2) --> gamma(p3)+f(p4)' 'F'
282 '  f(p1)+f(p2) --> gamma(p3)+f(p4)+f(p5)' 'L'
283 '  f(p1)+f(p2) --> gamma(p3)+b(p4)' 'L'
284 '  f(p1)+f(p2) --> gamma(p3)+c(p4)' 'L'
285 '  f(p1)+f(p2) --> gamma(p3)+gamma(p4)' 'F'
286 '  f(p1)+f(p2) --> gamma(p3)+gamma(p4)+f(p5)' 'F'
287 '  f(p1)+f(p2) --> gamma(p3)+gamma(p4)+gamma(p5)' 'F'
1000 'nul' 'X'
290 '  f(p1)+f(p2) --> W^+(-->nu(p3)+e^+(p4))+gamma(p5)' 'F'
292 '  f(p1)+f(p2) --> W^+(-->nu(p3)+e^+(p4)) +gamma(p5)+f(p6) ' 'L'
295 '  f(p1)+f(p2) --> W^-(-->e^-(p3)+nu~(p4))+gamma(p5)' 'F'
